Affection,Définition,Facteurs de risques,Agent(s) infectieux,Mode de transmission,Précautions à appliquer,Isolement/éviction,Physiopathologie,Signes cliniques,Symptômes,Examens spécifiques,Signes biologiques,Traitements médicamenteux et non médicamenteux,Contre-indications,Conseils au patient/entourage,Surveillances IDE spécifiques,Complications,Vaccins,Mesures préventives
Sepsis/Septicémie,Défaillance d’organe menaçant le pronostic vital secondaire à une infection avec une réponse inflammatoire dysrégulée (bactérie et plus rarement champignon),"Immunodépression, âge extrême, cathéters, comorbidités, retard de PEC","Bactéries (Staph, Strepto, E.coli, Pneumocoque)
Parasite
Virus/fongique (terrain particulier => immunodépression, diabète, éthylisme, toxicomanie...)
Variation selon point de départ de l’infection et selon le terrain (= px dépendant)","Endogène (foyers internes) ; exogène (cathéters, plaies) ",Standard + contact (asepsie rigoureuse),Non sauf multirésistant,"Foyer infectieux (respi 40 %, intra-abdo 30 %, urinaire 10 %, méningé 5 %, septicémie 5 %, autre) → réponse inflammatoire excessive → cytokines → immunosuppression + atteinte multiviscérale par redistribution du débit sanguin qui « sacrifie » la peau et le réseau splanchique au profit des organes « nobles » = inadéquation brutale entre besoins métaboliques et capacités des systèmes = production de lactates.","Selon l’organe/les organes atteints :
- Fièvre, tachycardie, hypotension < 100mmHg systolique
- Confusion, agitation, prostration, coma
- FR>24/min, tirage, SpO2 < AA
- Marbrures (genoux), froideur des extrêmités, TCR > 3sec
- Oligurie < 0,5mL/kg/h
- Ictère, encéphalopathie hépatique
- Purpura, ischémie des extremités","Asthénie, frissons, sueurs","Hémocultures = train d’hémoc de 40mL soit 4 flacons en une seule prise, alternance aérobie/anaérobie avant intro ATB.

Puis dépend de la porte d’entrée : 
- ECBU
- PL
- Frottis
- Ponction articulaire
- autres en fonction du foyer suspecté (imagerie, coloscopie, aspiration…)","Acidose métabolique (compensée par hyperventilation)
Facteurs de coagulation
Insuffisance surrénalienne + dysrégulation glycémique
Cytolyse hépatique
Insuffisance rénale aiguë
Thrombopénie par sur-consommation des plaquettes (Coagulation IntraVasculaire Disséminée)
","ATB probatoire large spectre, fluidothérapie, vasopresseurs, dialyse
VVP + remplissage vasculaire
Oxygénothérapie
Monitoring (FC, TA, FR, SpO2, pose de sonde urinaire pour éval diurèse)

Alerter médecin/réanimation
Allonger le px
Mesure température
Bilan sanguin
Sondage vésical",,,"T°C, TA, FR, bpm, SpO2, diurèse, état de conscience","Choc septique, surmortalité, décès",,Asepsie avant geste invasif (pose de KT)
Bactériémie,"Circulation de bactéries viables dans le sang affirmée par l’isolement dans les hémocultures, doit être un ou plusieurs germes pathogènes",,,,,,,,,,,,,,,,,
Choc septique,"Sepsis + nécessité d’introduire un traitement d’un ttmt vasopresseur + présence dans le sang de lactates (>2mmol/L) en l’absence d’hypovolémie affirmée.

2 phases : 
-hyperkinétique (sepsis)
-hypokinétique (choc septique)",catégories de patients septiques chez qui les anomalies circulatoires et métaboliques/cellulaires sont suffisamment profondes pour augmenter la mortalité de façon substancielle,,,,,,,,,,,,,,,,
