Affection,Définition,Facteurs de risque,Agent(s) infectieux,Mode de transmission,Précautions,Isolement/éviction,Physiopathologie,Signes cliniques,Symptômes,Examens spécifiques,Signes biologiques,Traitements,Contre-indications,Conseils patient/entourage,Surveillances IDE,Complications,Vaccins,Mesures préventives
Polyarthrite rhumatoïde,Maladie rhumatismale auto-immune affectant plusieurs articulations simultanément (poly-arthrites),"Femme, 50 ans, terrain génétique familial, tabac, obésité + suspicion de facteurs environnementaux",aucun ,Aucune,Standard,Non,prolifération pseudo-tumorale de la membrane synoviale (synovites/pannus) accompagnée d’épanchement (arthrtites). Peut aller jusqu’à la destruction de l’articulation.,"Arthrites distales bilatérale symétrique (mains métacarpo-phalangienne et interphalangiennes proximales /poignets/pieds/avant pieds), raideur matinale, réveils nocturnes (douleurs inflammatoires), sd du canal carpien
± manifestations inflammatoires plus généralisées (cardiaque, pulmonaires, cutanées) ⇒ nodules rhumatoïdes palpables doigts/coudes","Douleurs inflammatoires nocturnes, raideur matinale, fatigue","Examen clinique, radiographies, échographie, IRM
⇒ atteinte érosive principalement des mains","CRP/VS élevées, facteurs rhumatoïdes, auto anticorps anti-CCP","Symptomatique : paracétamol, AINS, corticoïdes
Ttmt de fond : methotrexate (immunomodulateur) si échec escalade vers biothérapie et/ou infiltration de corticoïdes
Chirurgie : prise en charge des séquelles (prothèse, synovectomie, arthrodèse)
Autres : kinésithérapie, orthèses, pédicure-podologie, ergothérapie, éducation thérapeutique","Méthotrexate: grossesse/procréation (tératogène), hépatopathie","Respect du traitement, arrêt tabac, exercice, protection articulaire, signaler fièvre/infection","PEC douleur, efficacité des traitements, obtenir coopération du px/entourage, nécessité d’observance et bonne prise médicamenteuse, dépister complication et effets secondaires.","Evolution et gravité très variable.
Déformations, handicap, rupture tendineuse, poussées, risque infectieux sous immunosuppresseurs",pas de vaccin spécifique,"Sevrage tabagique, activité physique, prise en charge précoce"
Maladie de Crohn,Maladie inflammatoire chronique de l’instestin (MICI) ,"Jeune adulte (20-30 ans), antécédents familiaux, tabac, terrain génétique, enfants/adolescents si parent atteint",Aucun,Aucune,Standard,Non,"Dérégulation de la tolérance du tube digestif à son environnement bactérien causant une inflammation chronique
Peut toucher tout le tube digestif de la bouche à l’anus focale ou multi-focale, Zone la plus svt touchée = iléo-colique droite
Inflammation transmurale du tube digestif, ulcérations, épaississement pariétal, sténoses, fistules, abcès","Pas toujours de corrélation entre symptomatologie et clinique = absence de signe clinique/symptômes n’exclue pas Crohn
Diarrhées, rectorragie, méléna, amaigrissement, retard staturo-pondéral chez l’enfant
Lésions anopérinéales dans 15 à 20 % des diagnostics (ulcération = perte de substance, fistule = faux trajet, sténose)
Manifestations extra-intestinales : articulaires (spondylarthropathies), cutanées (erythèmes noueux), ophtalmologiques (uvéite a, épisclérites), hépato-biliaires","Pas de symptôme spécifique = retard au diagnostic
Douleurs abdominales, diarrhée, fatigue, anorexie, perte de poids","Endoscopie digestive (haute = gastroscopie, basse = ileo-coloscopie) ± avec biopsies, calprotectine (marqueur fécal augmenté)
Echographie, parfois IRM
Coproculture + recherche clostridium","Syndrome inflammatoire (même discret) associé à une AEG (anémie, dénutrition possible)
Sérologie ASCA+ / ANCA-","Corticoïdes en poussée, immunosuppresseurs/biothérapies selon sévérité, prise en charge nutritionnelle","Dépend du traitement: infections, grossesse pour certains médicaments, AINS souvent évités si aggravation digestive","Hydratation, observance, alimentation adaptée, repérer sang dans selles, fièvre, amaigrissement/ dénutrition","Poids, transit, douleur, hydratation, état nutritionnel, tolérance thérapeutique","Occlusion instestinale, fistules, perforation d’abcès, perforation d’organe, péritonite, dénutrition, retard de croissance, cancer digestif à long terme",pas de vaccin spécifique,"Arrêt du tabac, suivi spécialisé, dépistage précoce des poussées"
Maladie de Horton,"Vascularite (inflammation auto-immune paroi) des gros vaisseaux (aorte et ses branches), atteinte multi-focale à prédominance céphaliques avec risque de thrombose (branche de la carotide externe = cécité mono/bi-oculaire)",Âge > 50 ans exclusivement sujet âgé,aucun ,Aucune,Standard,Non,"Inflammation artérielle avec épaississement pariétal et risque d’occlusion, atteinte ophtalmique possible","AEG, asthénie, sd inflammatoire, baisse vision transitoire ou définitive (amaurose, cécité)","Céphalées frontales/temporales, douleur cuir chevelu, claudication mâchoire, fatigue, perte de poids","écho artères temporales, biopsie artère temporale, avis ophtalmologique si trouble visuel","Syndrome inflammatoire marqué, VS > 40 et CRP >10mg/L","Corticothérapie souvent à forte dose en début puis décroissance jusqu’à dose minimale efficace.
Corticothérapie au long cours chez plus de 50 % des px","Corticoïdes: diabète, HTA, infections","Urgence si baisse vision, observance stricte du traitement, régime désodé et pauvre en sucre d’absorption rapide, ± supplémentation potassium, assurer apports calciques et vita D, promouvoir activité physique régulière","Vision, douleur, état général, TA, glycémie, effets secondaires corticoïdes long cours (infections, ostéoporose cortico-induite, troubles trophiques : peau fragile/fonte musculaire, athérome), observance stricte du traitement","Cécité irréversible, AVC, anévrisme/dissection aortique",pas de vaccin spécifique,"Dépistage rapide des céphalées chez >50 ans, dépistage troubles visuels"
Psoriasis,Dermatose auto-immune érythémato-squameuse chronique,"Antécédents familiaux, psychologiques, infections, médicaments, tabac, alcool, UV",aucun ,Aucune,Standard,Non,"Hyperprolifération kératinocytaire avec inflammation immunitaire + boucle d’auto-entretien du phénomène, poussées/rémissions","Plaques rouges épaisses bien délimitées + squames blanches épaisses et adhérentes
localisations coudes/genoux/cuir chevelu/région lombaire/ongles
Alternance de poussée/rémission OU forme continue
Prurit variable
Association à un rhumatisme axial ou périphérique dans 10 % des cas
Pas d’AEG dans la majorité des cas
Différentes formes : inversé, ungéal, palmo-plantaire, en goutte, erythrodermique, pustuleux","Démangeaisons parfois minimes, gêne esthétique, douleur si fissures cutanées","Examen clinique, parfois biopsie si doute avec lymphome cutané
± radio si doute sur rhumatisme psoriasique associé","Biologie biologique pour prise en charge des pathologies associées et facteurs de risques cardio-vasculaires (glycémie, bilan lipidique, bilan hépatique…)","Dermatologique : 
- Ttmt topique : dermocorticoïdes, dérivés vitamine A et D, réducteurs (acide salicylique)
- Ttmt systémique : photothérapie UVA UVB, acitrétine (tératogène), méthotrexate,, biothérapies = anticorps monoclonaux anti-interleukynes
PEC globale : facteurs de risques, comorbidités","Méthotrexate: grossesse, alcool, hépatopathie, cytopénies
Acitrétine : grossesse","Hydratation cutanée, observance, éviter grattage, repérer arthralgies, impact psychologique","Étendue des lésions, prurit, douleur, retentissement, observance/tolérance traitements
Empathie, prise en compte contexte médical/social","Surinfection, rhumatisme psoriasique, destruction articulaire, retentissement psycho-social, formes sévères ou formes touchant les zones exposées socialement",Pas de vaccin spécifique,"Émollients, réduction stress, arrêt tabac/alcool, prise en charge précoce"
