Affection,Symptômes cliniques,Clinique,Examens,Facteurs de risque,Complications,Agent causal,Mode de transmission,Traitement,Mesures préventives
"Cystite aiguë
= infection vessie","Signes urinaires (brûlures mictionnelles, pollakiurie, urgenturie, voire retenue urine) douleurs pelviennes

Installation brutale","Possible douleur pérniéale ou sus-pubienne
Absence de fièvre
Absence de lombalgie
Femme jeune","BU = Leucocytes + nitrites (sauf agent infectieux particulier) 
ECBU seulement si terrain particulier",,"Cystites récidivantes  (4 épisodes/an mini) 
Investigation pour dépister cervicite, vaginite, ulcérations herpétiques
Pyélonéphrite",Flore périnéo-vaginale,Rétrograde colonisation vessie,"Terrain sans particularité : antibiothérapie  monodose en 1 prise 
Terrain particulier : antibiothérapie su 3-5jours
Règle hygiéno-dététiques (hydratation, mictions régulières, miction après coït…)","toilette intime adaptée (pH neutre, mouvement d’avant en arrière) 
Rythme de toilette intime raisonnée
Uriner après un coït
Éviter pantalon trop serré
Hydratation / jus de cranberry
Mictions fréquentes"
"Pyélonéphrite aiguë
= infection des voies urinaires hautes + parenchyme rénal","Frissons
Signes urinaires (brûlures mictionnelles, pollakiurie, urgenturie, urines troubles ou malodorantes)","Femme jeune 15-65 ans dans 90 % des cas
Douleurs fosses lombaires à la palpation
Fièvre >38.5°C","BU insuffisante
ECBU
Hémocultures si signe de gravité
NFS, CRP
ASP + echo rénale (majoration volume rénal) ou uro TDM systématique pour écarter obstruction voies urinaires","Diabète
Immunodépression
Ttmt immunosuppresseur
Éthylisme
Corticothérapie","Sepsis sévère
lithiase obstructive = urgence chirurgicale
Abcès rénal",,"Rétrograde vessie-reins par reflux ou obstruction (si obstruction antibiothérapie sera insuffisante)
Hématogène (bactériémie, septicémie) = rare","PA non compliquée = Cephalosporine IV/IM/SC ou Fluoroquinolone per os
PA compliquée = hospitalisation (perfusion, antibiothérapie, drainage voies urinaires (obstacle = urgence), drainage abcès rénal)

Surveiller signes de choc septique, douleurs, T°C, tolérance antibiothérapie
Vigilance terrain particulier","toilette intime adaptée (pH neutre, mouvement d’avant en arrière)
Rythme de toilette intime raisonnée
Uriner après un coït
Hydratation / jus de cranberry
Mictions fréquentes"
"Prostatite aiguë
= inflammation prostate secondaire psce bactérie","Frissons
Sueurs
Signes urinaires (brûlures mictionnelles, pollakiurie, urgenturie, voire retenue urine) douleurs pelviennes
","Fièvre 39-40°C
Toucher rectal douloureux
Homme 40-60 ans
Patient jeune pubère = rechercher IST","NFS, CRP, iono, créatininémie
Hémocultures
ECBU
Echo pelvienne post mictionnelle = détecter une rétention vésicale nécessitant drainage",Troubles vidange vésicale,"Septicémie / chioc septique
Rétention aiguë urinaire
Abcès prostatique (grave si germes anaérobies)
Orchi-épididymite",E. coli,"Rétrograde urètre-canaux éjaculateurs-prostate
Antégrade (urines infectées dans la vessie contaminant la prostate)
Hématogène (rare)
Directe (lors de biopsie prostatique trans-rectale)","Antibiothérapie probabiliste (céphalosprorine ou fluoroquinolone per os)
Drainage si rétention urinaire (KT sus-pubien ou sonde vésicale)
Si abcès prostatique = drainage sous échographie

Hospitalisation en cas de signe de gravité, complication ou facteurs de risque
⇒ céphalosporine IV + Amikacine x 14-21 jours

Surveiller signes de choc septique, rétention urinaire, douleurs, perméabilité KT",
"Orchi-épididymite
= infection testicule et de l’épididyme",douleurs bourse intenses soulagées par le soutènement,"puberté-35 ans = souvent liée IST 
>50 ans = souvent liée mauvaise vidange vésicale

Fièvre ± élevée
bourse rouge gonflée inflammatoire, douloureuse la palpation
± Troubles mictionnels inconstants

Rechercher :
- toucher rectal douloureux oriente vers prostatite
- écoulement urétral oriente vers urétrite","ECBU
Hémocultures si fièvre>38,5 °C ou signe de choc septique
Echo scrotale (recherche abcès testiculaire)

Si suspiction IST :
- sérologie syphilis, HBV, HBC, VIH avec acord patient
- ECBU avec recherche de Chlamydia/Neisseria
- info/dépistage du/des partenaires","Mauvaise vidange vésicale, IST jeune","Abcès testiculaire, fonte purulente du testicule
Atrophie testiculaire
Epididymite chronique
Récidive
Hypofertilité à long terme","Germes habituels = E. coli, pseudomonas aeruginosa, cocci Gram +

MST = Chlamydia (PCR sur jet urinaire), Neisseria gonorrhoeae (gonocoque, écouvillonage urètre antérieure)","Rétrograde via canaux déférents
Hématogène (rare)
Virale = orchite ourlienne (rare)","Antibiothérapie probabiliste selon terrain (lié à l’âge)
<35 ans considérer ttmt urétrite 
>35 ans considérer ttmt prostatite

CI : AINS

Surveiller signes de choc septique, évolution locale défavorable, douleurs","Repos lit
Suspensoir
Antalgiques
Rapports protégés tout au long du traitement"
"Urétrite
= IST de l’urètre antérieure","Douleurs brûlures urétrales, troubles mictionnels","Gonocoque : écoulement quasi constant purulent jaune verdatre

Chlamydia : symptomatique dans 50 % des cas avec écoulement clair modéré et intermittent. Rechercher signe extragénitale : arthrite, kératoconjonctivite, Syndrome de Fiessinger-Leroy-Reiter (conj bilatérale, polyarthrite…)
Rechercher autres IST, orchite / prostatite associée","prélèvement écoulement ou écouvillonnage urètre antérieure
ECBU
Bilan d’IST avec accord patient (syphilis, HBV, HBC, VIH)",,partenaires contaminés,"Chlamydia, Gonocoque",Sexuellement transmissible,"Antibiothérapie probabiliste avant résultats biologiques :
Association de : Cefriaxone 500mg IM (gonocoque) + Azithromax 1g per os (Chlamydia)

Rechercher le/la/les partenaires contaminés pour proposer dépistage/ttmt","Dépistage partenaires
Rapports protégés"
